Index,TimeTag,Alias,ARINC429
1841,0d:5h:09m:18.211 629s,Present Position - Longitude,0x8ED82FC9
1842,0d:5h:09m:18.214 509s,Ground Speed,0x00BAA0CA
1843,0d:5h:09m:18.217 389s,Pitch Angle,0x801D00D4
1844,0d:5h:09m:18.220 269s,Roll Angle,0x003300D5
1845,0d:5h:09m:18.223 149s,Body Pitch Rate,0x000000D6
1846,0d:5h:09m:18.226 029s,Body Roll Rate,0x000100D7
1847,0d:5h:09m:18.228 909s,Body Yaw Rate,0x800000D8
1848,0d:5h:09m:18.231 789s,Body Longitudinal Acceleration,0x821200D9
1849,0d:5h:09m:18.234 669s,Body Lateral Acceleration,0x006F00DA
1850,0d:5h:09m:18.237 549s,Body Normal Acceleration,0x847500DB
1851,0d:5h:09m:18.240 429s,Altitude (Inertial),0x003C4BF1
1852,0d:5h:09m:18.243 309s,Vertical Acceleration,0x047500F4
1853,0d:5h:09m:18.246 189s,Inertial Vertical Velocity (EFI),0x1F66C0F5
1854,0d:5h:09m:18.249 069s,g,0x81ED00F8
1855,0d:5h:09m:18.285 709s,Magnetic Heading,0x0A06400C
1856,0d:5h:09m:18.288 589s,Set Magnetic Heading,0x825C0023
1857,0d:5h:09m:18.291 469s,Body Pitch Acceleration,0x8002A02A
1858,0d:5h:09m:18.294 349s,Body Roll Acceleration,0x0002A02B
1859,0d:5h:09m:18.297 229s,Body Yaw Acceleration,0x8000402C
1860,0d:5h:09m:18.300 109s,Altitude Rate,0x1F68008A
1861,0d:5h:09m:18.305 869s,Integrated Vertical Acceleration,0x801123B5
1862,0d:5h:09m:18.308 749s,Present Position - Latitude,0x1B05FC8
1863,0d:5h:09m:18.311 629s,Present Position - Longitude,0x8ED82FC9
1864,0d:5h:09m:18.314 509s,Ground Speed,0x00BAA0CA
1865,0d:5h:09m:18.317 389s,Pitch Angle,0x001D80D4
1866,0d:5h:09m:18.320 269s,Roll Angle,0x002DC0D5
1867,0d:5h:09m:18.323 149s,Body Pitch Rate,0x000000D6
1868,0d:5h:09m:18.326 029s,Body Roll Rate,0x000100D7
1869,0d:5h:09m:18.328 909s,Body Yaw Rate,0x800000D8
1870,0d:5h:09m:18.331 789s,Body Longitudinal Acceleration,0x820F00D9
1871,0d:5h:09m:18.334 669s,Body Lateral Acceleration,0x80C200DA
1872,0d:5h:09m:18.337 549s,Body Normal Acceleration,0x842300DB
1873,0d:5h:09m:18.340 429s,Altitude (Inertial),0x003C39F1
1874,0d:5h:09m:18.343 309s,Vertical Acceleration,0x042300F4
1875,0d:5h:09m:18.346 189s,Inertial Vertical Velocity (EFI),0x9F67C0F5
1876,0d:5h:09m:18.349 069s,g,0x01EF00F8
1877,0d:5h:09m:18.385 709s,Magnetic Heading,0x0A08000C
1878,0d:5h:09m:18.388 589s,Set Magnetic Heading,0x825C0023
1879,0d:5h:09m:18.391 469s,Body Pitch Acceleration,0x0001202A
1880,0d:5h:09m:18.394 349s,Body Roll Acceleration,0x8002802B
1881,0d:5h:09m:18.397 229s,Body Yaw Acceleration,0x8000202C
1882,0d:5h:09m:18.400 109s,Altitude Rate,0x1F68008A
1883,0d:5h:09m:18.405 869s,Integrated Vertical Acceleration,0x800D03B5
1884,0d:5h:09m:18.408 749s,Present Position - Latitude,0x1B05FC8
1885,0d:5h:09m:18.411 629s,Present Position - Longitude,0x8ED82FC9
1886,0d:5h:09m:18.414 509s,Ground Speed,0x00BAC0CA
1887,0d:5h:09m:18.417 389s,Pitch Angle,0x001D80D4
1888,0d:5h:09m:18.420 269s,Roll Angle,0x002A40D5
1889,0d:5h:09m:18.423 149s,Body Pitch Rate,0x000000D6
1890,0d:5h:09m:18.426 029s,Body Roll Rate,0x000100D7
1891,0d:5h:09m:18.428 909s,Body Yaw Rate,0x800000D8
1892,0d:5h:09m:18.431 789s,Body Longitudinal Acceleration,0x821100D9
1893,0d:5h:09m:18.434 669s,Body Lateral Acceleration,0x80EC00DA
1894,0d:5h:09m:18.437 549s,Body Normal Acceleration,0x834100DB
1895,0d:5h:09m:18.440 429s,Altitude (Inertial),0x003C21F1
1896,0d:5h:09m:18.443 309s,Vertical Acceleration,0x023E00F4
1897,0d:5h:09m:18.446 189s,Inertial Vertical Velocity (EFI),0x9F68C0F5
1898,0d:5h:09m:18.449 069s,g,0x81F600F8
1899,0d:5h:09m:18.485 709s,Magnetic Heading,0x0A08000C
1900,0d:5h:09m:18.488 589s,Set Magnetic Heading,0x825C0023
1901,0d:5h:09m:18.491 469s,Body Pitch Acceleration,0x9FFFC02A
1902,0d:5h:09m:18.494 349s,Body Roll Acceleration,0x0002C02B
1903,0d:5h:09m:18.497 229s,Body Yaw Acceleration,0x8000202C
1904,0d:5h:09m:18.500 109s,Altitude Rate,0x9F6A008A
1905,0d:5h:09m:18.505 869s,Integrated Vertical Acceleration,0x8008DBB5
1906,0d:5h:09m:18.508 749s,Present Position - Latitude,0x1B05FC8
1907,0d:5h:09m:18.511 629s,Present Position - Longitude,0x8ED82FC9
1908,0d:5h:09m:18.514 509s,Ground Speed,0x80BAE0CA
1909,0d:5h:09m:18.517 389s,Pitch Angle,0x001D40D4
1910,0d:5h:09m:18.520 269s,Roll Angle,0x8023C0D5
1911,0d:5h:09m:18.523 149s,Body Pitch Rate,0x000000D6
1912,0d:5h:09m:18.526 029s,Body Roll Rate,0x800180D7
1913,0d:5h:09m:18.528 909s,Body Yaw Rate,0x800000D8
1914,0d:5h:09m:18.531 789s,Body Longitudinal Acceleration,0x020700D9
1915,0d:5h:09m:18.534 669s,Body Lateral Acceleration,0x811800DA
1916,0d:5h:09m:18.537 549s,Body Normal Acceleration,0x823700DB
1917,0d:5h:09m:18.540 429s,Altitude (Inertial),0x003C1BF1
1918,0d:5h:09m:18.543 309s,Vertical Acceleration,0x023700F4
1919,0d:5h:09m:18.546 189s,Inertial Vertical Velocity (EFI),0x9F6920F5
1920,0d:5h:09m:18.549 069s,g,0x81F600F8
1921,0d:5h:09m:18.585 709s,Magnetic Heading,0x8A08400C
1922,0d:5h:09m:18.588 589s,Set Magnetic Heading,0x825C0023
1923,0d:5h:09m:18.591 469s,Body Pitch Acceleration,0x9FFFC02A
1924,0d:5h:09m:18.594 349s,Body Roll Acceleration,0x8006602B
1925,0d:5h:09m:18.597 229s,Body Yaw Acceleration,0x0000C02C
1926,0d:5h:09m:18.600 109s,Altitude Rate,0x9F6A008A
1927,0d:5h:09m:18.605 869s,Integrated Vertical Acceleration,0x000927B5
1928,0d:5h:09m:18.608 749s,Present Position - Latitude,0x1B05FC8
1929,0d:5h:09m:18.611 629s,Present Position - Longitude,0x8ED82FC9
1930,0d:5h:09m:18.614 509s,Ground Speed,0x80BAE0CA
1931,0d:5h:09m:18.617 389s,Pitch Angle,0x001D40D4
1932,0d:5h:09m:18.620 269s,Roll Angle,0x801C00D5
1933,0d:5h:09m:18.623 149s,Body Pitch Rate,0x000000D6
1934,0d:5h:09m:18.626 029s,Body Roll Rate,0x000200D7
1935,0d:5h:09m:18.628 909s,Body Yaw Rate,0x000080D8
1936,0d:5h:09m:18.631 789s,Body Longitudinal Acceleration,0x81E400D9
1937,0d:5h:09m:18.634 669s,Body Lateral Acceleration,0x812100DA
1938,0d:5h:09m:18.637 549s,Body Normal Acceleration,0x022B00DB
1939,0d:5h:09m:18.640 429s,Altitude (Inertial),0x803C08F1
1940,0d:5h:09m:18.643 309s,Vertical Acceleration,0x822B00F4
1941,0d:5h:09m:18.646 189s,Inertial Vertical Velocity (EFI),0x1F69A0F5
1942,0d:5h:09m:18.649 069s,g,0x01F700F8
1943,0d:5h:09m:18.685 709s,Magnetic Heading,0x8A08400C
1944,0d:5h:09m:18.688 589s,Set Magnetic Heading,0x825C0023
1945,0d:5h:09m:18.691 469s,Body Pitch Acceleration,0x8000402A
1946,0d:5h:09m:18.694 349s,Body Roll Acceleration,0x9FFF802B
1947,0d:5h:09m:18.697 229s,Body Yaw Acceleration,0x1FFF802C
1948,0d:5h:09m:18.700 109s,Altitude Rate,0x9F6A008A
1949,0d:5h:09m:18.705 869s,Integrated Vertical Acceleration,0x0006B7B5
1950,0d:5h:09m:18.708 749s,Present Position - Latitude,0x1B05FC8
1951,0d:5h:09m:18.711 629s,Present Position - Longitude,0x8ED82FC9
1952,0d:5h:09m:18.714 509s,Ground Speed,0x80BB00CA
1953,0d:5h:09m:18.717 389s,Pitch Angle,0x001D40D4
1954,0d:5h:09m:18.720 269s,Roll Angle,0x001580D5
1955,0d:5h:09m:18.723 149s,Body Pitch Rate,0x000000D6
1956,0d:5h:09m:18.726 029s,Body Roll Rate,0x000200D7
1957,0d:5h:09m:18.728 909s,Body Yaw Rate,0x000080D8
